State Code,District Code,Area Name,Total/ Rural/ Urban,Adolescent and youth categories,Total Population - Persons,Total Population - Males,Total Population - Females,Scheduled Caste - Persons,Scheduled Tribe - Persons,Scheduled Tribe - Males,Illiiterates - Total - Persons,Illiiterates - Total - Males,Illiiterates - Total - Females,Main Worker - Agricultural labourers - Persons
1,12,District - Pulwama (12),Rural,Adolescent (10-19),97424,49274,48150,1,4867,2496,11154,4373,6781,349
1,12,District - Pulwama (12),Rural,Youth (15-24),95203,46898,48305,6,3475,1753,14507,4386,10121,973
1,12,District - Pulwama (12),Urban,All Ages,80462,44968,35494,350,418,309,31683,13871,17812,460
1,12,District - Pulwama (12),Urban,10-14,6805,3557,3248,1,31,12,653,281,372,1
1,12,District - Pulwama (12),Urban,15-19,6739,3397,3342,0,13,6,588,255,333,20
1,12,District - Pulwama (12),Urban,20-24,7691,4224,3467,40,45,40,957,371,586,47
1,12,District - Pulwama (12),Urban,Adolescent (10-19),13544,6954,6590,1,44,18,1241,536,705,21
1,12,District - Pulwama (12),Urban,Youth (15-24),14430,7621,6809,40,58,46,1545,626,919,67
1,13,District - Shupiyan (13),Total,All Ages,266215,136480,129735,43,21820,11311,129715,56125,73590,3761
1,13,District - Shupiyan (13),Total,10-14,31592,15975,15617,0,3218,1680,3424,1431,1993,40
1,13,District - Shupiyan (13),Total,15-19,31313,15433,15880,0,2111,1100,3832,1229,2603,220
1,13,District - Shupiyan (13),Total,20-24,26737,13021,13716,5,1381,716,6153,1738,4415,423
1,13,District - Shupiyan (13),Total,Adolescent (10-19),62905,31408,31497,0,5329,2780,7256,2660,4596,260
